"Andorra","42.54,1.60"
"United Arab Emirates","23.42,53.84"
"Afghanistan","33.9,67.70"
"Antigua and Barbuda","17.06,-61.79"
"Anguilla","18.22,-63.06"
"Albania","41.15,20.16"
"Armenia","40.06,45.03"
"Netherlands Antilles","12.22,-69.06"
"Angola","-11.20,17.87"
"Antarctica","-75.25,-0.07"
"Argentina","-38.41,-63.61"
"American Samoa","-14.27,-170.13"
"Austria","47.51,14.55"
"Australia","-25.27,133.77"
"Aruba","12.5,-69.96"
"Azerbaijan","40.14,47.57"
"Bosnia and Herzegovina","43.91,17.67"
"Barbados","13.19,-59.54"
"Bangladesh","23.68,90.35"
"Belgium","50.50,4.46"
"Burkina Faso","12.23,-1.56"
"Bulgaria","42.73,25.4"
"Bahrain","25.93,50.63"
"Burundi","-3.37,29.91"
"Benin","9.3,2.31"
"Bermuda","32.32,-64.7"
"Brunei","4.53,114.72"
"Bolivia","-16.29,-63.58"
"Brazil","-14.23,-51.9"
"Bahamas","25.0,-77.3"
"Bhutan","27.51,90.43"
"Bouvet Island","-54.42,3.41"
"Botswana","-22.32,24.68"
"Belarus","53.70,27.95"
"Belize","17.18,-88.4"
"Canada","56.13,-106.34"
"Cocos Keeling Islands","-12.16,96.87"
"Congo DRC","-4.03,21.75"
"Central African Republic","6.61,20.93"
"Congo Republic","-0.22,15.82"
"Switzerland","46.81,8.22"
"Côte d'Ivoire","7.53,-5.5"
"Cook Islands","-21.23,-159.77"
"Chile","-35.67,-71.54"
"Cameroon","7.36,12.35"
"China","35.8,104.19"
"Colombia","4.57,-74.29"
"Costa Rica","9.74,-83.75"
"Cuba","21.52,-77.78"
"Cape Verde","16.00,-24.01"
"Christmas Island","-10.44,105.69"
"Cyprus","35.12,33.42"
"Czech Republic","49.81,15.47"
"Germany","51.16,10.45"
"Djibouti","11.82,42.59"
"Denmark","56.2,9.50"
"Dominica","15.41,-61.37"
"Dominican Republic","18.73,-70.16"
"Algeria","28.03,1.65"
"Ecuador","-1.83,-78.18"
"Estonia","58.59,25.01"
"Egypt","26.82,30.80"
"Western Sahara","24.21,-12.88"
"Eritrea","15.17,39.78"
"Spain","40.46,-3.7"
"Ethiopia","9.145,40.48"
"Finland","61.9,25.74"
"Fiji","-16.57,179.41"
"Falkland Islands Islas Malvinas","-51.79,-59.52"
"Micronesia","7.42,150.55"
"Faroe Islands","61.89,-6.91"
"France","46.22,2.21"
"Gabon","-0.80,11.60"
"United Kingdom","55.37,-3.43"
"Grenada","12.26,-61.60"
"Georgia","42.31,43.35"
"French Guiana","3.93,-53.12"
"Guernsey","49.46,-2.58"
"Ghana","7.94,-1.02"
"Gibraltar","36.13,-5.34"
"Greenland","71.70,-42.60"
"Gambia","13.44,-15.31"
"Guinea","9.94,-9.69"
"Guadeloupe","16.99,-62.06"
"Equatorial Guinea","1.65,10.26"
"Greece","39.07,21.82"
"South Georgia and the South Sandwich Islands","-54.42,-36.58"
"Guatemala","15.78,-90.23"
"Guam","13.44,144.79"
"Guinea-Bissau","11.80,-15.18"
"Guyana","4.86,-58.9"
"Gaza Strip","31.35,34.30"
"Hong Kong","22.39,114.10"
"Heard Island","-53.0,73.50"
"McDonald Islands","-53.0,73.50"
"Heard Island and McDonald Islands","-53.0,73.50"
"Honduras","15.19,-86.24"
"Croatia",","
"Haiti","18.97,-72.28"
"Hungary","47.16,19.50"
"Indonesia","-0.78,113.92"
"Ireland","53.4,-8.2"
"Israel","31.04,34.85"
"Isle of Man","54.23,-4.54"
"India","20.59,78.9"
"British Indian Ocean Territory","-6.34,71.87"
"Iraq","33.22,43.67"
"Iran","32.42,53.68"
"Iceland","64.96,-19.02"
"Italy","41.8,12.5"
"Jersey","49.21,-2.1"
"Jamaica","18.10,-77.29"
"Jordan","30.58,36.23"
"Japan","36.20,138.25"
"Kenya","-0.02,37.90"
"Kyrgyzstan","41.2,74.76"
"Cambodia","12.56,104.99"
"Kiribati","-3.37,-168.73"
"Comoros","-11.87,43.87"
"Saint Kitts and Nevis","17.35,-62.78"
"North Korea","40.33,127.51"
"South Korea","35.90,127.76"
"Kuwait","29.3,47.48"
